bylaw_id,street_name,extents,confidence,notice
6341,John Perkins Bull Drive,Stanley Greene Bouelvard and Frederick Tisdale Drive,No Match,btwn1: Stanley Greene Bouelvard btwn2: Frederick Tisdale Dr highway2: John Perkins Bull Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
6342,Locust Lodge Gardens,Stanley Greene Bouelvard and Frederick Tisdale Drive,No Match,btwn1: Stanley Greene Bouelvard btwn2: Frederick Tisdale Dr highway2: Locust Lodge Gdns metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
6416,Glenwood Terrace,A point 62 metres north of Glenwood Crescent,No Match,btwn1:  Glenwood Cres btwn2:  highway2: Glenwood Ter metres_btwn1: 62 metres_btwn2:  direction_btwn1: north direction_btwn2:  oid1: 13457554 oid2: 
6413,Glenburn Avenue,A point 43.28 metres north of Holland Avenue,No Match,btwn1:  Holland Ave btwn2:  highway2: Glenburn Ave metres_btwn1: 43.28 metres_btwn2:  direction_btwn1: north direction_btwn2:  oid1: 13455475 oid2: 
6412,Glenburn Avenue,A point 43.28 metres north of Holland Avenue,No Match,btwn1:  Holland Ave btwn2:  highway2: Glenburn Ave metres_btwn1: 43.28 metres_btwn2:  direction_btwn1: north direction_btwn2:  oid1: 13455475 oid2: 
6413,Glenburn Avenue,A point 43.28 metres north of Holland Avenue,No Match,btwn1:  Holland Ave btwn2:  highway2: Glenburn Ave metres_btwn1: 43.28 metres_btwn2:  direction_btwn1: north direction_btwn2:  oid1: 13455475 oid2: 
6412,Glenburn Avenue,A point 43.28 metres north of Holland Avenue,No Match,btwn1:  Holland Ave btwn2:  highway2: Glenburn Ave metres_btwn1: 43.28 metres_btwn2:  direction_btwn1: north direction_btwn2:  oid1: 13455475 oid2: 
6430,Munford Crescent,Chapman Avenue and Chapman Avenue,Very High (100% match),btwn1: Chapman Ave btwn2: Chapman Ave highway2: Munford Cres metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13457931 oid2: 13457963
6436,Plaxton Crescent,A point 47.56 metres west of Plaxton Drive,No Match,btwn1:  Plaxton Dr btwn2:  highway2: Plaxton Cres metres_btwn1: 47.56 metres_btwn2:  direction_btwn1: west direction_btwn2:  oid1: 13456993 oid2: 
6484,Blossomfield Drive,Lawrence Avenue and West Flemington Road,No Match,btwn1: Lawrence Ave btwn2: West Flemington Rd highway2: Blossomfield Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13455830 oid2: 
6488,Castlefield Avenue,West boundary of Ward 15 and Roselawn Avenue,No Match,btwn1: Ward 15 btwn2: Roselawn Ave highway2: Castlefield Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
6546,St. Leonard's Avenue,Dawlish Avenue (west intersection) and St. Leonard's Avenue (west intersection),No Match,btwn1: Dawlish Ave  btwn2: St. Leonards Ave highway2: St. Leonards Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
6568,Mulock Avenue,Lloyd Avenue and St. Clair Avenue West,Medium (3 character difference),btwn1: Lloyd Ave btwn2: St. Clair Ave W highway2: Mulock Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13463412 oid2: 13460295
6588,Beffort Road,Katherine Road and Hanover Road,Low (5 character difference),btwn1: Katherine Rd btwn2: Hanover Rd highway2: Beffort Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13453810 oid2: 13452320
5456,Beffort Road,Katherine Road and Hanover Road,Low (5 character difference),btwn1: Katherine Rd btwn2: Hanover Rd highway2: Beffort Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13453810 oid2: 13452320
6614,Brookdale Avenue (west leg),"Bathurst Street and the easterly limit of Brookdale Avenue (west leg, east of Grey Road)",No Match,btwn1: Bathurst St btwn2: the easterly limit of Brookdale Ave highway2: Brookdale Ave  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13454424 oid2: 
6641,Kelso Street,Brooke Avenue and Burncrest Drive,Low (6 character difference),btwn1: Brooke Ave btwn2: Burncrest Dr highway2: Kelso St metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13453099 oid2: 13452216
6663,Strathallan Wood (east leg),Alexandra Wood and a point 20.5 metres west of Proudfoot Avenue/Strathallan Boulevard,Medium (3 character difference),btwn1: Alexandra Wood btwn2: Proudfoot Ave highway2: Strathallan Wood  metres_btwn1:  metres_btwn2: 20.5 direction_btwn1:  direction_btwn2: west oid1: 13456257 oid2: 13456112
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
